2016.03.20 23.57.27 1 INFO: S E R V E R   S T A R T E D
2016.03.21 00.00.23 49 INFO:  --> New Connection:/127.0.0.1:49756
2016.03.21 00.00.23 49 INFO:  --> File to be uploaded = a0.jpg
2016.03.21 00.00.23 49 INFO:  --> File zu
2016.03.21 00.00.23 49 INFO:  --> Req behandelt
2016.03.21 00.00.23 49 INFO:  --> Res gesendet
2016.03.21 00.00.23 49 INFO:  --> End Connection:/127.0.0.1:49756
2016.03.21 00.00.23 50 INFO:  --> New Connection:/127.0.0.1:49757
2016.03.21 00.00.23 50 INFO:  --> File to be uploaded = a0.tif
2016.03.21 00.00.23 50 INFO:  --> File zu
2016.03.21 00.00.23 50 INFO:  --> Req behandelt
2016.03.21 00.00.23 50 INFO:  --> Res gesendet
2016.03.21 00.00.23 50 INFO:  --> End Connection:/127.0.0.1:49757
2016.03.21 00.00.41 51 INFO:  --> New Connection:/127.0.0.1:49762
2016.03.21 00.00.41 51 INFO:  --> File to be uploaded = a.jpg
2016.03.21 00.00.41 51 INFO:  --> File zu
2016.03.21 00.00.41 51 INFO:  --> Req behandelt
2016.03.21 00.00.41 51 INFO:  --> Res gesendet
2016.03.21 00.00.41 51 INFO:  --> End Connection:/127.0.0.1:49762
2016.03.21 00.00.41 52 INFO:  --> New Connection:/127.0.0.1:49763
2016.03.21 00.00.41 52 INFO:  --> File to be uploaded = a.tif
2016.03.21 00.00.42 52 INFO:  --> File zu
2016.03.21 00.00.42 52 INFO:  --> Req behandelt
2016.03.21 00.00.42 52 INFO:  --> Res gesendet
2016.03.21 00.00.42 52 INFO:  --> End Connection:/127.0.0.1:49763
2016.03.21 00.00.42 53 INFO:  --> New Connection:/127.0.0.1:49764
2016.03.21 00.00.42 53 INFO:  --> File to be uploaded = a0.jpg
2016.03.21 00.00.42 53 INFO:  --> File zu
2016.03.21 00.00.42 53 INFO:  --> Req behandelt
2016.03.21 00.00.42 53 INFO:  --> Res gesendet
2016.03.21 00.00.42 53 INFO:  --> End Connection:/127.0.0.1:49764
2016.03.21 00.00.42 54 INFO:  --> New Connection:/127.0.0.1:49765
2016.03.21 00.00.42 54 INFO:  --> File to be uploaded = a0.tif
2016.03.21 00.00.43 54 INFO:  --> File zu
2016.03.21 00.00.43 54 INFO:  --> Req behandelt
2016.03.21 00.00.43 54 INFO:  --> Res gesendet
2016.03.21 00.00.43 54 INFO:  --> End Connection:/127.0.0.1:49765
2016.03.21 00.00.43 55 INFO:  --> New Connection:/127.0.0.1:49767
2016.03.21 00.00.43 55 INFO:  --> File to be uploaded = a00.jpg
2016.03.21 00.00.43 55 INFO:  --> File zu
2016.03.21 00.00.43 55 INFO:  --> Req behandelt
2016.03.21 00.00.43 55 INFO:  --> Res gesendet
2016.03.21 00.00.43 55 INFO:  --> End Connection:/127.0.0.1:49767
2016.03.21 00.00.43 56 INFO:  --> New Connection:/127.0.0.1:49768
2016.03.21 00.00.43 56 INFO:  --> File to be uploaded = a00.tif
2016.03.21 00.00.44 56 INFO:  --> File zu
2016.03.21 00.00.44 56 INFO:  --> Req behandelt
2016.03.21 00.00.44 56 INFO:  --> Res gesendet
2016.03.21 00.00.44 56 INFO:  --> End Connection:/127.0.0.1:49768
2016.03.21 00.00.44 57 INFO:  --> New Connection:/127.0.0.1:49769
2016.03.21 00.00.44 57 INFO:  --> File to be uploaded = a1.jpg
2016.03.21 00.00.44 57 INFO:  --> File zu
2016.03.21 00.00.44 57 INFO:  --> Req behandelt
2016.03.21 00.00.44 57 INFO:  --> Res gesendet
2016.03.21 00.00.44 57 INFO:  --> End Connection:/127.0.0.1:49769
2016.03.21 00.00.44 58 INFO:  --> New Connection:/127.0.0.1:49770
2016.03.21 00.00.44 58 INFO:  --> File to be uploaded = a1.tif
2016.03.21 00.00.45 58 INFO:  --> File zu
2016.03.21 00.00.45 58 INFO:  --> Req behandelt
2016.03.21 00.00.45 58 INFO:  --> Res gesendet
2016.03.21 00.00.45 58 INFO:  --> End Connection:/127.0.0.1:49770
2016.03.21 00.00.50 59 INFO:  --> New Connection:/127.0.0.1:49771
2016.03.21 00.00.50 59 INFO:  --> File to be uploaded = a.jpg
2016.03.21 00.00.50 59 INFO:  --> File zu
2016.03.21 00.00.50 59 INFO:  --> Req behandelt
2016.03.21 00.00.50 59 INFO:  --> Res gesendet
2016.03.21 00.00.50 59 INFO:  --> End Connection:/127.0.0.1:49771
2016.03.21 00.00.50 60 INFO:  --> New Connection:/127.0.0.1:49772
2016.03.21 00.00.50 60 INFO:  --> File to be uploaded = a.tif
2016.03.21 00.00.51 60 INFO:  --> File zu
2016.03.21 00.00.51 60 INFO:  --> Req behandelt
2016.03.21 00.00.51 60 INFO:  --> Res gesendet
2016.03.21 00.00.51 60 INFO:  --> End Connection:/127.0.0.1:49772
2016.03.21 00.00.51 61 INFO:  --> New Connection:/127.0.0.1:49773
2016.03.21 00.00.51 61 INFO:  --> File to be uploaded = a0.jpg
2016.03.21 00.00.51 61 INFO:  --> File zu
2016.03.21 00.00.51 61 INFO:  --> Req behandelt
2016.03.21 00.00.51 61 INFO:  --> Res gesendet
2016.03.21 00.00.51 61 INFO:  --> End Connection:/127.0.0.1:49773
2016.03.21 00.00.51 62 INFO:  --> New Connection:/127.0.0.1:49774
2016.03.21 00.00.51 62 INFO:  --> File to be uploaded = a0.tif
2016.03.21 00.00.52 62 INFO:  --> File zu
2016.03.21 00.00.52 62 INFO:  --> Req behandelt
2016.03.21 00.00.52 62 INFO:  --> Res gesendet
2016.03.21 00.00.52 62 INFO:  --> End Connection:/127.0.0.1:49774
2016.03.21 00.00.52 63 INFO:  --> New Connection:/127.0.0.1:49775
2016.03.21 00.00.52 63 INFO:  --> File to be uploaded = a00.jpg
2016.03.21 00.00.52 63 INFO:  --> File zu
2016.03.21 00.00.52 63 INFO:  --> Req behandelt
2016.03.21 00.00.52 63 INFO:  --> Res gesendet
2016.03.21 00.00.52 63 INFO:  --> End Connection:/127.0.0.1:49775
2016.03.21 00.00.52 64 INFO:  --> New Connection:/127.0.0.1:49776
2016.03.21 00.00.52 64 INFO:  --> File to be uploaded = a00.tif
2016.03.21 00.00.53 64 INFO:  --> File zu
2016.03.21 00.00.53 64 INFO:  --> Req behandelt
2016.03.21 00.00.53 64 INFO:  --> Res gesendet
2016.03.21 00.00.53 64 INFO:  --> End Connection:/127.0.0.1:49776
2016.03.21 00.00.53 65 INFO:  --> New Connection:/127.0.0.1:49777
2016.03.21 00.00.53 65 INFO:  --> File to be uploaded = a000.jpg
2016.03.21 00.00.53 65 INFO:  --> File zu
2016.03.21 00.00.53 65 INFO:  --> Req behandelt
2016.03.21 00.00.53 65 INFO:  --> Res gesendet
2016.03.21 00.00.53 65 INFO:  --> End Connection:/127.0.0.1:49777
2016.03.21 00.00.53 66 INFO:  --> New Connection:/127.0.0.1:49778
2016.03.21 00.00.53 66 INFO:  --> File to be uploaded = a000.tif
2016.03.21 00.00.54 66 INFO:  --> File zu
2016.03.21 00.00.54 66 INFO:  --> Req behandelt
2016.03.21 00.00.54 66 INFO:  --> Res gesendet
2016.03.21 00.00.54 66 INFO:  --> End Connection:/127.0.0.1:49778
2016.03.21 00.00.54 67 INFO:  --> New Connection:/127.0.0.1:49779
2016.03.21 00.00.54 67 INFO:  --> File to be uploaded = a01.jpg
2016.03.21 00.00.54 67 INFO:  --> File zu
2016.03.21 00.00.54 67 INFO:  --> Req behandelt
2016.03.21 00.00.54 67 INFO:  --> Res gesendet
2016.03.21 00.00.54 67 INFO:  --> End Connection:/127.0.0.1:49779
2016.03.21 00.00.54 68 INFO:  --> New Connection:/127.0.0.1:49780
2016.03.21 00.00.54 68 INFO:  --> File to be uploaded = a01.tif
2016.03.21 00.00.55 68 INFO:  --> File zu
2016.03.21 00.00.55 68 INFO:  --> Req behandelt
2016.03.21 00.00.55 68 INFO:  --> Res gesendet
2016.03.21 00.00.55 68 INFO:  --> End Connection:/127.0.0.1:49780
2016.03.21 00.00.55 69 INFO:  --> New Connection:/127.0.0.1:49781
2016.03.21 00.00.55 69 INFO:  --> File to be uploaded = a1.jpg
2016.03.21 00.00.55 69 INFO:  --> File zu
2016.03.21 00.00.55 69 INFO:  --> Req behandelt
2016.03.21 00.00.55 69 INFO:  --> Res gesendet
2016.03.21 00.00.55 69 INFO:  --> End Connection:/127.0.0.1:49781
2016.03.21 00.00.55 70 INFO:  --> New Connection:/127.0.0.1:49782
2016.03.21 00.00.55 70 INFO:  --> File to be uploaded = a1.tif
2016.03.21 00.00.56 70 INFO:  --> File zu
2016.03.21 00.00.56 70 INFO:  --> Req behandelt
2016.03.21 00.00.56 70 INFO:  --> Res gesendet
2016.03.21 00.00.56 70 INFO:  --> End Connection:/127.0.0.1:49782
2016.03.21 00.00.56 71 INFO:  --> New Connection:/127.0.0.1:49783
2016.03.21 00.00.56 71 INFO:  --> File to be uploaded = a10.jpg
2016.03.21 00.00.56 71 INFO:  --> File zu
2016.03.21 00.00.56 71 INFO:  --> Req behandelt
2016.03.21 00.00.56 71 INFO:  --> Res gesendet
2016.03.21 00.00.56 71 INFO:  --> End Connection:/127.0.0.1:49783
2016.03.21 00.00.56 72 INFO:  --> New Connection:/127.0.0.1:49784
2016.03.21 00.00.56 72 INFO:  --> File to be uploaded = a10.tif
2016.03.21 00.00.57 72 INFO:  --> File zu
2016.03.21 00.00.57 72 INFO:  --> Req behandelt
2016.03.21 00.00.57 72 INFO:  --> Res gesendet
2016.03.21 00.00.57 72 INFO:  --> End Connection:/127.0.0.1:49784
2016.03.21 00.00.57 73 INFO:  --> New Connection:/127.0.0.1:49785
2016.03.21 00.00.57 73 INFO:  --> File to be uploaded = a2.jpg
2016.03.21 00.00.57 73 INFO:  --> File zu
2016.03.21 00.00.57 73 INFO:  --> Req behandelt
2016.03.21 00.00.57 73 INFO:  --> Res gesendet
2016.03.21 00.00.57 73 INFO:  --> End Connection:/127.0.0.1:49785
2016.03.21 00.00.57 74 INFO:  --> New Connection:/127.0.0.1:49786
2016.03.21 00.00.57 74 INFO:  --> File to be uploaded = a2.tif
2016.03.21 00.00.58 74 INFO:  --> File zu
2016.03.21 00.00.58 74 INFO:  --> Req behandelt
2016.03.21 00.00.58 74 INFO:  --> Res gesendet
2016.03.21 00.00.58 74 INFO:  --> End Connection:/127.0.0.1:49786
2016.03.21 00.01.21 75 INFO:  --> New Connection:/127.0.0.1:49793
2016.03.21 00.01.21 75 INFO:  --> File to be uploaded = a.jpg
2016.03.21 00.01.21 75 INFO:  --> File zu
2016.03.21 00.01.21 75 INFO:  --> Req behandelt
2016.03.21 00.01.21 75 INFO:  --> Res gesendet
2016.03.21 00.01.21 75 INFO:  --> End Connection:/127.0.0.1:49793
2016.03.21 00.01.21 76 INFO:  --> New Connection:/127.0.0.1:49794
2016.03.21 00.01.21 76 INFO:  --> File to be uploaded = a.tif
2016.03.21 00.01.22 76 INFO:  --> File zu
2016.03.21 00.01.22 76 INFO:  --> Req behandelt
2016.03.21 00.01.22 76 INFO:  --> Res gesendet
2016.03.21 00.01.22 76 INFO:  --> End Connection:/127.0.0.1:49794
2016.03.21 00.01.22 77 INFO:  --> New Connection:/127.0.0.1:49795
2016.03.21 00.01.22 77 INFO:  --> File to be uploaded = a0.jpg
2016.03.21 00.01.22 77 INFO:  --> File zu
2016.03.21 00.01.22 77 INFO:  --> Req behandelt
2016.03.21 00.01.22 77 INFO:  --> Res gesendet
2016.03.21 00.01.22 77 INFO:  --> End Connection:/127.0.0.1:49795
2016.03.21 00.01.22 78 INFO:  --> New Connection:/127.0.0.1:49796
2016.03.21 00.01.22 78 INFO:  --> File to be uploaded = a0.tif
2016.03.21 00.01.23 78 INFO:  --> File zu
2016.03.21 00.01.23 78 INFO:  --> Req behandelt
2016.03.21 00.01.23 78 INFO:  --> Res gesendet
2016.03.21 00.01.23 78 INFO:  --> End Connection:/127.0.0.1:49796
2016.03.21 00.01.23 79 INFO:  --> New Connection:/127.0.0.1:49797
2016.03.21 00.01.23 79 INFO:  --> File to be uploaded = a00.jpg
2016.03.21 00.01.23 79 INFO:  --> File zu
2016.03.21 00.01.23 79 INFO:  --> Req behandelt
2016.03.21 00.01.23 79 INFO:  --> Res gesendet
2016.03.21 00.01.23 79 INFO:  --> End Connection:/127.0.0.1:49797
2016.03.21 00.01.23 80 INFO:  --> New Connection:/127.0.0.1:49798
2016.03.21 00.01.23 80 INFO:  --> File to be uploaded = a00.tif
2016.03.21 00.01.24 80 INFO:  --> File zu
2016.03.21 00.01.24 80 INFO:  --> Req behandelt
2016.03.21 00.01.24 80 INFO:  --> Res gesendet
2016.03.21 00.01.24 80 INFO:  --> End Connection:/127.0.0.1:49798
2016.03.21 00.01.24 81 INFO:  --> New Connection:/127.0.0.1:49799
2016.03.21 00.01.24 81 INFO:  --> File to be uploaded = a000.jpg
2016.03.21 00.01.24 81 INFO:  --> File zu
2016.03.21 00.01.24 81 INFO:  --> Req behandelt
2016.03.21 00.01.24 81 INFO:  --> Res gesendet
2016.03.21 00.01.24 81 INFO:  --> End Connection:/127.0.0.1:49799
2016.03.21 00.01.24 82 INFO:  --> New Connection:/127.0.0.1:49800
2016.03.21 00.01.24 82 INFO:  --> File to be uploaded = a000.tif
2016.03.21 00.01.24 82 INFO:  --> File zu
2016.03.21 00.01.24 82 INFO:  --> Req behandelt
2016.03.21 00.01.24 82 INFO:  --> Res gesendet
2016.03.21 00.01.24 82 INFO:  --> End Connection:/127.0.0.1:49800
2016.03.21 00.01.24 83 INFO:  --> New Connection:/127.0.0.1:49801
2016.03.21 00.01.24 83 INFO:  --> File to be uploaded = a0000.jpg
2016.03.21 00.01.25 83 INFO:  --> File zu
2016.03.21 00.01.25 83 INFO:  --> Req behandelt
2016.03.21 00.01.25 83 INFO:  --> Res gesendet
2016.03.21 00.01.25 83 INFO:  --> End Connection:/127.0.0.1:49801
